Campaign,ID,Architecture,Stage,Training Fraction,Global Step,Overall,Room Size,Object Size,Object Counting,Absolute Distance,Relative Distance,Relative Direction Easy,Relative Direction Medium,Relative Direction Hard,Route Planning,Appearance Order,Direction Grouped,Total Samples,Room Size Samples,Object Size Samples,Object Counting Samples,Absolute Distance Samples,Relative Distance Samples,Relative Direction Easy Samples,Relative Direction Medium Samples,Relative Direction Hard Samples,Route Planning Samples,Appearance Order Samples,Evaluation Directory,Results JSON,Detail JSON
reference_half,A,VLM3R pre-LLM Cross-attn,1%,0.01,17,37.40768764455541,28.229166666666668,45.257082896117524,43.32743362831859,27.134292565947245,44.929577464788736,47.926267281105986,44.70899470899471,31.63538873994638,36.597938144329895,32.362459546925564,41.42355024334902,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p01_26567034_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p01_26567034_0/0911_0317_eval_official_reference_A_vlm3r_prellm_cross_attn_p01_26559612_0_26567034_0_vlm_3r_model_args_b1f72e/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p01_26567034_0/0911_0317_eval_official_reference_A_vlm3r_prellm_cross_attn_p01_26559612_0_26567034_0_vlm_3r_model_args_b1f72e/vsibench.json
reference_half,A,VLM3R pre-LLM Cross-attn,5%,0.05,82,45.94178531995511,47.708333333333336,57.555089192025186,68.86725663716815,34.52038369304556,51.54929577464789,52.07373271889401,46.82539682539682,41.01876675603217,25.257731958762886,35.43689320388349,46.63929876677434,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p05_26567035_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p05_26567035_0/0911_0317_eval_official_reference_A_vlm3r_prellm_cross_attn_p05_26559612_0_26567035_0_vlm_3r_model_args_e63f16/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p05_26567035_0/0911_0317_eval_official_reference_A_vlm3r_prellm_cross_attn_p05_26559612_0_26567035_0_vlm_3r_model_args_e63f16/vsibench.json
reference_half,A,VLM3R pre-LLM Cross-attn,25%,0.25,406,52.984743394347525,60.06944444444444,67.59706190975866,68.88495575221239,42.613908872901675,56.056338028169016,50.23041474654379,50.264550264550266,44.77211796246649,41.23711340206185,38.996763754045304,48.42236099118685,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p25_26674357_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p25_26674357_0/0914_0615_eval_official_reference_A_vlm3r_prellm_cross_attn_p25_26559612_0_26674357_0_vlm_3r_model_args_dc42cd/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p25_26674357_0/0914_0615_eval_official_reference_A_vlm3r_prellm_cross_attn_p25_26559612_0_26674357_0_vlm_3r_model_args_dc42cd/vsibench.json
reference_half,A,VLM3R pre-LLM Cross-attn,50%,0.5,811,54.26849201896928,60.763888888888886,67.10388247639034,69.61061946902655,42.302158273381295,57.887323943661976,62.67281105990783,64.02116402116403,56.03217158176944,41.75257731958763,33.81877022653722,60.908715554280434,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p50_26674358_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p50_26674358_0/0914_0619_eval_official_reference_A_vlm3r_prellm_cross_attn_p50_26559612_0_26674358_0_vlm_3r_model_args_211c56/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/reference_fusion_half_official/reference_A_vlm3r_prellm_cross_attn_26559612_0/p50_26674358_0/0914_0619_eval_official_reference_A_vlm3r_prellm_cross_attn_p50_26559612_0_26674358_0_vlm_3r_model_args_211c56/vsibench.json
controlled,B,"pre-projector Add, dec12",1%,0.01,17,38.43103606451429,25.520833333333332,48.415529905561385,50.141592920353986,27.51798561151079,44.929577464788736,47.926267281105986,44.97354497354497,34.048257372654156,36.08247422680412,32.5242718446602,42.3160232091017,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p01_26536135_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p01_26536135_0/0910_0557_eval_official_controlled_B_pre_projector_add_dec12_once_p01_26484327_0_26536135_0_vlm_3r_model_args_6b5404/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p01_26536135_0/0910_0557_eval_official_controlled_B_pre_projector_add_dec12_once_p01_26484327_0_26536135_0_vlm_3r_model_args_6b5404/vsibench.json
controlled,B,"pre-projector Add, dec12",5%,0.05,82,47.122721358670255,51.21527777777778,60.38824763903463,69.2566371681416,36.57074340527578,52.25352112676056,47.926267281105986,44.97354497354497,42.35924932975871,26.288659793814436,35.92233009708738,45.08635386146989,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p05_26536136_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p05_26536136_0/0910_0611_eval_official_controlled_B_pre_projector_add_dec12_once_p05_26484327_0_26536136_0_vlm_3r_model_args_e57d9b/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p05_26536136_0/0910_0611_eval_official_controlled_B_pre_projector_add_dec12_once_p05_26484327_0_26536136_0_vlm_3r_model_args_e57d9b/vsibench.json
controlled,B,"pre-projector Add, dec12",25%,0.25,406,53.74788328986922,59.895833333333336,67.31374606505771,68.42477876106196,42.02637889688249,60.0,52.995391705069125,51.85185185185185,42.89544235924933,42.78350515463917,40.29126213592233,49.247561972056765,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p25_26536137_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p25_26536137_0/0910_1313_eval_official_controlled_B_pre_projector_add_dec12_once_p25_26484327_0_26536137_0_vlm_3r_model_args_449778/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p25_26536137_0/0910_1313_eval_official_controlled_B_pre_projector_add_dec12_once_p25_26484327_0_26536137_0_vlm_3r_model_args_449778/vsibench.json
controlled,B,"pre-projector Add, dec12",50%,0.5,811,57.140578518339446,59.68750000000001,67.69150052465898,70.60176991150442,44.280575539568346,59.154929577464785,68.66359447004609,68.25396825396825,56.83646112600537,44.84536082474227,46.27831715210356,64.58467461667324,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p50_26536138_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p50_26536138_0/0910_1327_eval_official_controlled_B_pre_projector_add_dec12_once_p50_26484327_0_26536138_0_vlm_3r_model_args_f9f79a/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/p50_26536138_0/0910_1327_eval_official_controlled_B_pre_projector_add_dec12_once_p50_26484327_0_26536138_0_vlm_3r_model_args_f9f79a/vsibench.json
controlled,B,"pre-projector Add, dec12",Final,1.0,1622,57.84309940577166,61.87499999999999,70.18887722980062,70.8495575221239,46.211031175059944,60.140845070422536,70.96774193548387,70.37037037037037,58.98123324396782,41.23711340206185,45.46925566343042,66.77311518327402,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/eval_26534853_0,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/eval_26534853_0/0910_0557_eval_official_controlled_B_pre_projector_add_dec12_once_26484327_0_26534853_0_vlm_3r_model_args_1d8185/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_B_pre_projector_add_dec12_once_26484327_0/eval_26534853_0/0910_0557_eval_official_controlled_B_pre_projector_add_dec12_once_26484327_0_26534853_0_vlm_3r_model_args_1d8185/vsibench.json
controlled,C,"L0 Cross-attn, dec12",1%,0.01,17,38.050857262224994,27.916666666666668,47.15634837355719,48.814159292035406,27.721822541966425,44.7887323943662,49.30875576036866,44.70899470899471,32.171581769437,37.628865979381445,28.317152103559874,42.063110746266794,5130,288,953,565,834,710,217,378,373,194,618,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_C_cross_attn_dec12_llm0_once_26484327_1/p01_26536139_1,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_C_cross_attn_dec12_llm0_once_26484327_1/p01_26536139_1/0910_1354_eval_official_controlled_C_cross_attn_dec12_llm0_once_p01_26484327_1_26536139_1_vlm_3r_model_args_77d445/results.json,/gpfs/scratch1/shared/geusdd/VLM3R/logs/eval/controlled_fusion_official/controlled_C_cross_attn_dec12_llm0_once_26484327_1/p01_26536139_1/0910_1354_eval_official_controlled_C_cross_attn_dec12_llm0_once_p01_26484327_1_26536139_1_vlm_3r_model_args_77d445/vsibench.json
